0,115.24,163.31,94.36,271.54,324.6,308.47,311.96,280,223.65,261.23,172.68,176.13,74.55,176.08,288.16,203.62,67.46
115.24,0,77.55,72.29,197.14,269.19,270.72,332.29,292.96,235.4,282.45,207.8,229.74,153.89,135.69,219.53,125.24,43.76
163.31,77.55,0,105.84,124.66,201.21,235.9,356.06,286.11,246.27,324.78,238.24,282.49,227.03,125.56,156.49,52.32,117.78
94.36,72.29,105.84,0,191.95,203.34,200.76,264.84,207.28,157.51,232.67,137.78,180,126.26,79.14,193.18,126.87,99.27
27154,197.14,124.66,191.95,0,151.26,194.76,374.71,295.94,255.66,369.13,285.05,377.86,339.33,152.46,65.13,74.76,234.98
324.6,269.19,201.21,203.34,151.26,0,84.09,285.26,202.4,181.38,290.48,242.8,336.42,334.14,137.04,76.12,165.57,301.2
308.47,270.72,235.9,200.76,194.76,84.09,0,202.36,120.65,101.48,213.68,180.91,265.09,281.66,128.26,142.65,199.93,300.88
311.96,332.29,356.06,264.84,374.71,285.26,202.36,0,79.88,104.81,49.56,129.07,162.17,234.31,235.63,328.13,340.98,348.39
280,292.96,286.11,207.28,295.94,202.4,120.65,79.88,0,45.41,86.86,110.41,169.34,218.26,169.33,256.56,272.24,305.8
223.65,235.4,246.27,157.51,255.66,181.38,101.48,104.81,45.41,0,97.04,70.13,153.05,176.2,113.45,218.2,213.08,240.79
261.23,282.45,324.78,232.67,369.13,290.48,213.68,49.56,86.86,97.04,0,84.66,115.47,184.04,214.41,324.34,316.64,306.28
178.62,207.8,238.24,137.78,285.05,242.8,180.91,129.07,110.41,70.13,84.66,0,69.86,105.91,136.39,263.92,240.22,218.92
176.13,229.74,282.49,180,377.86,336.42,265.09,162.17,169.34,153.05,115.47,69.86,0,78.52,211.91,343.39,301.1,234.07
74.55,153.89,227.03,126.26,339.33,334.14,281.66,234.31,218.26,176.2,184.04,105.91,78.52,0,186.49,315.96,253.65,156.4
176.08,135.69,125.56,79.14,152.46,137.04,128.26,235.63,169.33,113.45,214.41,136.39,211.91,186.49,0,120.18,99.38,181.37
288.16,219.53,156.49,193.18,65.13,76.12,142.65,328.13,256.56,218.2,324.34,263.92,343.39,315.96,120.18,0,111.12,261.11
203.62,125.24,52.32,126.87,74.76,165.57,199.93,340.98,272.24,213.08,316.64,240.22,301.1,253.65,99.38,111.12,0,154.92
67.46,43.76,117.78,99.27,234.98,301.2,300.88,348.39,305.8,240.79,306.28,218.92,234.07,156.4,181.37,261.11,154.92,0
